# offlineChannelIndex,barIndex,SiPM,sectorName,moduleNumber,side,ROC,ROCport,FEBchannel
160,40,0,CRV_EX,0,-,2,5,16
161,40,1,CRV_EX,0,+,1,4,16
162,40,2,CRV_EX,0,-,2,5,17
163,40,3,CRV_EX,0,+,1,4,17
164,41,0,CRV_EX,0,-,2,5,18
165,41,1,CRV_EX,0,+,1,4,18
166,41,2,CRV_EX,0,-,2,5,19
167,41,3,CRV_EX,0,+,1,4,19
168,42,0,CRV_EX,0,-,2,5,20
169,42,1,CRV_EX,0,+,1,4,20
170,42,2,CRV_EX,0,-,2,5,21
171,42,3,CRV_EX,0,+,1,4,21
172,43,0,CRV_EX,0,-,2,5,22
173,43,1,CRV_EX,0,+,1,4,22
174,43,2,CRV_EX,0,-,2,5,23
175,43,3,CRV_EX,0,+,1,4,23
176,44,0,CRV_EX,0,-,2,5,24
177,44,1,CRV_EX,0,+,1,4,24
178,44,2,CRV_EX,0,-,2,5,25
179,44,3,CRV_EX,0,+,1,4,25
180,45,0,CRV_EX,0,-,2,5,26
181,45,1,CRV_EX,0,+,1,4,26
182,45,2,CRV_EX,0,-,2,5,27
183,45,3,CRV_EX,0,+,1,4,27
184,46,0,CRV_EX,0,-,2,5,28
185,46,1,CRV_EX,0,+,1,4,28
186,46,2,CRV_EX,0,-,2,5,29
187,46,3,CRV_EX,0,+,1,4,29
188,47,0,CRV_EX,0,-,2,5,30
189,47,1,CRV_EX,0,+,1,4,30
190,47,2,CRV_EX,0,-,2,5,31
191,47,3,CRV_EX,0,+,1,4,31
192,48,0,CRV_EX,0,-,2,5,32
193,48,1,CRV_EX,0,+,1,4,32
194,48,2,CRV_EX,0,-,2,5,33
195,48,3,CRV_EX,0,+,1,4,33
196,49,0,CRV_EX,0,-,2,5,34
197,49,1,CRV_EX,0,+,1,4,34
198,49,2,CRV_EX,0,-,2,5,35
199,49,3,CRV_EX,0,+,1,4,35
200,50,0,CRV_EX,0,-,2,5,36
201,50,1,CRV_EX,0,+,1,4,36
202,50,2,CRV_EX,0,-,2,5,37
203,50,3,CRV_EX,0,+,1,4,37
204,51,0,CRV_EX,0,-,2,5,38
205,51,1,CRV_EX,0,+,1,4,38
206,51,2,CRV_EX,0,-,2,5,39
207,51,3,CRV_EX,0,+,1,4,39
208,52,0,CRV_EX,0,-,2,5,40
209,52,1,CRV_EX,0,+,1,4,40
210,52,2,CRV_EX,0,-,2,5,41
211,52,3,CRV_EX,0,+,1,4,41
212,53,0,CRV_EX,0,-,2,5,42
213,53,1,CRV_EX,0,+,1,4,42
214,53,2,CRV_EX,0,-,2,5,43
215,53,3,CRV_EX,0,+,1,4,43
216,54,0,CRV_EX,0,-,2,5,44
217,54,1,CRV_EX,0,+,1,4,44
218,54,2,CRV_EX,0,-,2,5,45
219,54,3,CRV_EX,0,+,1,4,45
220,55,0,CRV_EX,0,-,2,5,46
221,55,1,CRV_EX,0,+,1,4,46
222,55,2,CRV_EX,0,-,2,5,47
223,55,3,CRV_EX,0,+,1,4,47
224,56,0,CRV_EX,0,-,2,5,48
225,56,1,CRV_EX,0,+,1,4,48
226,56,2,CRV_EX,0,-,2,5,49
227,56,3,CRV_EX,0,+,1,4,49
228,57,0,CRV_EX,0,-,2,5,50
229,57,1,CRV_EX,0,+,1,4,50
230,57,2,CRV_EX,0,-,2,5,51
231,57,3,CRV_EX,0,+,1,4,51
232,58,0,CRV_EX,0,-,2,5,52
233,58,1,CRV_EX,0,+,1,4,52
234,58,2,CRV_EX,0,-,2,5,53
235,58,3,CRV_EX,0,+,1,4,53
236,59,0,CRV_EX,0,-,2,5,54
237,59,1,CRV_EX,0,+,1,4,54
238,59,2,CRV_EX,0,-,2,5,55
239,59,3,CRV_EX,0,+,1,4,55
240,60,0,CRV_EX,0,-,2,5,56
241,60,1,CRV_EX,0,+,1,4,56
242,60,2,CRV_EX,0,-,2,5,57
243,60,3,CRV_EX,0,+,1,4,57
244,61,0,CRV_EX,0,-,2,5,58
245,61,1,CRV_EX,0,+,1,4,58
246,61,2,CRV_EX,0,-,2,5,59
247,61,3,CRV_EX,0,+,1,4,59
248,62,0,CRV_EX,0,-,2,5,60
249,62,1,CRV_EX,0,+,1,4,60
250,62,2,CRV_EX,0,-,2,5,61
251,62,3,CRV_EX,0,+,1,4,61
252,63,0,CRV_EX,0,-,2,5,62
253,63,1,CRV_EX,0,+,1,4,62
254,63,2,CRV_EX,0,-,2,5,63
255,63,3,CRV_EX,0,+,1,4,63
256,64,0,CRV_EX,1,-,1,5,0
257,64,1,CRV_EX,1,+,1,7,0
258,64,2,CRV_EX,1,-,1,5,1
259,64,3,CRV_EX,1,+,1,7,1
260,65,0,CRV_EX,1,-,1,5,2
261,65,1,CRV_EX,1,+,1,7,2
262,65,2,CRV_EX,1,-,1,5,3
263,65,3,CRV_EX,1,+,1,7,3
264,66,0,CRV_EX,1,-,1,5,4
265,66,1,CRV_EX,1,+,1,7,4
266,66,2,CRV_EX,1,-,1,5,5
267,66,3,CRV_EX,1,+,1,7,5
268,67,0,CRV_EX,1,-,1,5,6
269,67,1,CRV_EX,1,+,1,7,6
270,67,2,CRV_EX,1,-,1,5,7
271,67,3,CRV_EX,1,+,1,7,7
272,68,0,CRV_EX,1,-,1,5,8
273,68,1,CRV_EX,1,+,1,7,8
274,68,2,CRV_EX,1,-,1,5,9
275,68,3,CRV_EX,1,+,1,7,9
276,69,0,CRV_EX,1,-,1,5,10
277,69,1,CRV_EX,1,+,1,7,10
278,69,2,CRV_EX,1,-,1,5,11
279,69,3,CRV_EX,1,+,1,7,11
280,70,0,CRV_EX,1,-,1,5,12
281,70,1,CRV_EX,1,+,1,7,12
282,70,2,CRV_EX,1,-,1,5,13
283,70,3,CRV_EX,1,+,1,7,13
284,71,0,CRV_EX,1,-,1,5,14
285,71,1,CRV_EX,1,+,1,7,14
286,71,2,CRV_EX,1,-,1,5,15
287,71,3,CRV_EX,1,+,1,7,15
288,72,0,CRV_EX,1,-,1,5,16
289,72,1,CRV_EX,1,+,1,7,16
290,72,2,CRV_EX,1,-,1,5,17
291,72,3,CRV_EX,1,+,1,7,17
292,73,0,CRV_EX,1,-,1,5,18
293,73,1,CRV_EX,1,+,1,7,18
294,73,2,CRV_EX,1,-,1,5,19
295,73,3,CRV_EX,1,+,1,7,19
296,74,0,CRV_EX,1,-,1,5,20
297,74,1,CRV_EX,1,+,1,7,20
298,74,2,CRV_EX,1,-,1,5,21
299,74,3,CRV_EX,1,+,1,7,21
300,75,0,CRV_EX,1,-,1,5,22
301,75,1,CRV_EX,1,+,1,7,22
302,75,2,CRV_EX,1,-,1,5,23
303,75,3,CRV_EX,1,+,1,7,23
304,76,0,CRV_EX,1,-,1,5,24
305,76,1,CRV_EX,1,+,1,7,24
306,76,2,CRV_EX,1,-,1,5,25
307,76,3,CRV_EX,1,+,1,7,25
308,77,0,CRV_EX,1,-,1,5,26
309,77,1,CRV_EX,1,+,1,7,26
310,77,2,CRV_EX,1,-,1,5,27
311,77,3,CRV_EX,1,+,1,7,27
312,78,0,CRV_EX,1,-,1,5,28
313,78,1,CRV_EX,1,+,1,7,28
314,78,2,CRV_EX,1,-,1,5,29
315,78,3,CRV_EX,1,+,1,7,29
316,79,0,CRV_EX,1,-,1,5,30
317,79,1,CRV_EX,1,+,1,7,30
318,79,2,CRV_EX,1,-,1,5,31
319,79,3,CRV_EX,1,+,1,7,31
320,80,0,CRV_EX,1,-,1,5,32
321,80,1,CRV_EX,1,+,1,7,32
322,80,2,CRV_EX,1,-,1,5,33
323,80,3,CRV_EX,1,+,1,7,33
324,81,0,CRV_EX,1,-,1,5,34
325,81,1,CRV_EX,1,+,1,7,34
326,81,2,CRV_EX,1,-,1,5,35
327,81,3,CRV_EX,1,+,1,7,35
328,82,0,CRV_EX,1,-,1,5,36
329,82,1,CRV_EX,1,+,1,7,36
330,82,2,CRV_EX,1,-,1,5,37
331,82,3,CRV_EX,1,+,1,7,37
332,83,0,CRV_EX,1,-,1,5,38
333,83,1,CRV_EX,1,+,1,7,38
334,83,2,CRV_EX,1,-,1,5,39
335,83,3,CRV_EX,1,+,1,7,39
336,84,0,CRV_EX,1,-,1,5,40
337,84,1,CRV_EX,1,+,1,7,40
338,84,2,CRV_EX,1,-,1,5,41
339,84,3,CRV_EX,1,+,1,7,41
340,85,0,CRV_EX,1,-,1,5,42
341,85,1,CRV_EX,1,+,1,7,42
342,85,2,CRV_EX,1,-,1,5,43
343,85,3,CRV_EX,1,+,1,7,43
344,86,0,CRV_EX,1,-,1,5,44
345,86,1,CRV_EX,1,+,1,7,44
346,86,2,CRV_EX,1,-,1,5,45
347,86,3,CRV_EX,1,+,1,7,45
348,87,0,CRV_EX,1,-,1,5,46
349,87,1,CRV_EX,1,+,1,7,46
350,87,2,CRV_EX,1,-,1,5,47
351,87,3,CRV_EX,1,+,1,7,47
352,88,0,CRV_EX,1,-,1,5,48
353,88,1,CRV_EX,1,+,1,7,48
354,88,2,CRV_EX,1,-,1,5,49
355,88,3,CRV_EX,1,+,1,7,49
356,89,0,CRV_EX,1,-,1,5,50
357,89,1,CRV_EX,1,+,1,7,50
358,89,2,CRV_EX,1,-,1,5,51
359,89,3,CRV_EX,1,+,1,7,51
360,90,0,CRV_EX,1,-,1,5,52
361,90,1,CRV_EX,1,+,1,7,52
362,90,2,CRV_EX,1,-,1,5,53
363,90,3,CRV_EX,1,+,1,7,53
364,91,0,CRV_EX,1,-,1,5,54
365,91,1,CRV_EX,1,+,1,7,54
366,91,2,CRV_EX,1,-,1,5,55
367,91,3,CRV_EX,1,+,1,7,55
368,92,0,CRV_EX,1,-,1,5,56
369,92,1,CRV_EX,1,+,1,7,56
370,92,2,CRV_EX,1,-,1,5,57
371,92,3,CRV_EX,1,+,1,7,57
372,93,0,CRV_EX,1,-,1,5,58
373,93,1,CRV_EX,1,+,1,7,58
374,93,2,CRV_EX,1,-,1,5,59
375,93,3,CRV_EX,1,+,1,7,59
376,94,0,CRV_EX,1,-,1,5,60
377,94,1,CRV_EX,1,+,1,7,60
378,94,2,CRV_EX,1,-,1,5,61
379,94,3,CRV_EX,1,+,1,7,61
380,95,0,CRV_EX,1,-,1,5,62
381,95,1,CRV_EX,1,+,1,7,62
382,95,2,CRV_EX,1,-,1,5,63
383,95,3,CRV_EX,1,+,1,7,63
384,96,0,CRV_EX,1,-,1,6,0
385,96,1,CRV_EX,1,+,1,8,0
386,96,2,CRV_EX,1,-,1,6,1
387,96,3,CRV_EX,1,+,1,8,1
388,97,0,CRV_EX,1,-,1,6,2
389,97,1,CRV_EX,1,+,1,8,2
390,97,2,CRV_EX,1,-,1,6,3
391,97,3,CRV_EX,1,+,1,8,3
392,98,0,CRV_EX,1,-,1,6,4
393,98,1,CRV_EX,1,+,1,8,4
394,98,2,CRV_EX,1,-,1,6,5
395,98,3,CRV_EX,1,+,1,8,5
396,99,0,CRV_EX,1,-,1,6,6
397,99,1,CRV_EX,1,+,1,8,6
398,99,2,CRV_EX,1,-,1,6,7
399,99,3,CRV_EX,1,+,1,8,7
400,100,0,CRV_EX,1,-,1,6,8
401,100,1,CRV_EX,1,+,1,8,8
402,100,2,CRV_EX,1,-,1,6,9
403,100,3,CRV_EX,1,+,1,8,9
404,101,0,CRV_EX,1,-,1,6,10
405,101,1,CRV_EX,1,+,1,8,10
406,101,2,CRV_EX,1,-,1,6,11
407,101,3,CRV_EX,1,+,1,8,11
408,102,0,CRV_EX,1,-,1,6,12
409,102,1,CRV_EX,1,+,1,8,12
410,102,2,CRV_EX,1,-,1,6,13
411,102,3,CRV_EX,1,+,1,8,13
412,103,0,CRV_EX,1,-,1,6,14
413,103,1,CRV_EX,1,+,1,8,14
414,103,2,CRV_EX,1,-,1,6,15
415,103,3,CRV_EX,1,+,1,8,15
416,104,0,CRV_EX,1,-,1,6,16
417,104,1,CRV_EX,1,+,1,8,16
418,104,2,CRV_EX,1,-,1,6,17
419,104,3,CRV_EX,1,+,1,8,17
