# misalign wires in first three panels by +/- 150 um (odd/even)
TABLE TrkAlignStraw
   32, 0_0_32 ,  -0.088,   0.458,   0.225,   0.759,  -0.077,   0.003,   0.220,   0.308
   33, 0_0_33 ,  -0.068,   0.042,   0.231,   0.346,  -0.029,   0.053,   0.256,   0.338
   34, 0_0_34 ,  -0.104,   0.422,   0.213,   0.704,  -0.267,  -0.069,   0.221,   0.305
   35, 0_0_35 ,  -0.037,   0.023,   0.217,   0.353,  -0.037,   0.009,   0.232,   0.415
   36, 0_0_36 ,  -0.055,   0.299,   0.211,   0.769,  -0.082,   0.044,   0.250,   0.281
   37, 0_0_37 ,  -0.026,   0.019,   0.379,   0.341,  -0.060,   0.089,   0.238,   0.344
   38, 0_0_38 ,  -0.023,   0.324,   0.236,   0.723,  -0.080,   0.023,   0.248,   0.373
   39, 0_0_39 ,  -0.006,   0.013,   0.252,   0.454,  -0.021,  -0.013,   0.218,   0.387
   40, 0_0_40 ,   0.001,   0.259,   0.241,   0.747,  -0.026,   0.027,   0.318,   0.303
   41, 0_0_41 ,  -0.018,  -0.015,   0.264,   0.344,  -0.008,  -0.062,   0.337,   0.288
   42, 0_0_42 ,  -0.003,   0.254,   0.239,   0.704,  -0.194,   0.091,   0.351,   0.338
   43, 0_0_43 ,  -0.058,   0.078,   0.234,   0.348,   0.030,  -0.076,   0.395,   0.276
   44, 0_0_44 ,  -0.009,   0.265,   0.269,   0.728,   0.028,   0.035,   0.299,   0.376
   45, 0_0_45 ,  -0.022,   0.023,   0.246,   0.396,   0.018,  -0.017,   0.243,   0.308
   46, 0_0_46 ,   0.008,   0.287,   0.274,   0.696,  -0.080,   0.022,   0.222,   0.366
   47, 0_0_47 ,  -0.019,   0.093,   0.257,   0.350,   0.036,   0.078,   0.312,   0.298
   48, 0_0_48 ,   0.028,   0.321,   0.307,   0.584,   0.047,   0.138,   0.243,   0.367
   49, 0_0_49 ,   0.014,  -0.001,   0.279,   0.343,   0.056,   0.027,   0.350,   0.315
   50, 0_0_50 ,   0.029,   0.271,   0.308,   0.668,  -0.026,   0.015,   0.230,   0.383
   51, 0_0_51 ,   0.010,   0.018,   0.276,   0.376,   0.042,  -0.045,   0.269,   0.293
   52, 0_0_52 ,   0.039,   0.277,   0.299,   0.679,  -0.135,  -0.023,   0.159,   0.291
   53, 0_0_53 ,  -0.243,  -0.042,   0.267,   0.398,   0.045,   0.010,   0.385,   0.338
   54, 0_0_54 ,   0.048,   0.262,   0.310,   0.604,  -0.168,   0.035,   0.197,   0.364
   55, 0_0_55 ,   0.035,  -0.013,   0.290,   0.349,   0.069,  -0.098,   0.319,   0.326
   56, 0_0_56 ,   0.045,   0.256,   0.305,   0.734,  -0.037,  -0.035,   0.171,   0.396
   57, 0_0_57 ,   0.022,   0.054,   0.304,   0.435,   0.059,  -0.031,   0.318,   0.297
   58, 0_0_58 ,   0.061,   0.268,   0.323,   0.626,  -0.024,  -0.005,   0.209,   0.278
   59, 0_0_59 ,   0.032,  -0.001,   0.292,   0.351,   0.124,   0.033,   0.416,   0.252
   60, 0_0_60 ,   0.081,   0.243,   0.339,   0.618,   0.088,   0.044,   0.242,   0.291
   61, 0_0_61 ,   0.040,   0.019,   0.301,   0.388,   0.151,   0.107,   0.357,   0.477
   62, 0_0_62 ,   0.091,   0.249,   0.336,   0.625,   0.036,   0.030,   0.274,   0.285
   63, 0_0_63 ,   0.062,  -0.015,   0.305,   0.359,   0.091,   0.207,   0.363,   0.285
   64, 0_0_64 ,   0.111,   0.246,   0.399,   0.582,   0.031,   0.069,   0.293,   0.404
   65, 0_0_65 ,   0.043,   0.026,   0.308,   0.380,   0.152,  -0.058,   0.303,   0.297
   66, 0_0_66 ,   0.101,   0.283,   0.375,   0.520,   0.154,  -0.062,   0.244,   0.341
   67, 0_0_67 ,   0.057,   0.033,   0.316,   0.310,   0.179,  -0.072,   0.377,   0.186
   68, 0_0_68 ,   0.087,   0.289,   0.361,   0.533,   0.046,  -0.042,   0.240,   0.273
   69, 0_0_69 ,   0.077,  -0.010,   0.316,   0.379,   0.185,  -0.068,   0.342,   0.238
   70, 0_0_70 ,   0.120,   0.239,   0.360,   0.634,   0.170,  -0.089,   0.251,   0.246
   71, 0_0_71 ,   0.146,  -0.052,   0.826,   0.580,   0.156,  -0.125,   0.400,   0.192
   72, 0_0_72 ,   0.129,   0.303,   0.352,   0.373,   0.093,   0.123,   0.341,   0.294
   73, 0_0_73 ,   0.102,  -0.008,   0.335,   0.328,   0.140,  -0.062,   0.350,   0.196
   74, 0_0_74 ,   0.113,   0.287,   0.366,   0.661,   0.032,  -0.050,   0.262,   0.229
   75, 0_0_75 ,   0.099,  -0.051,   0.350,   0.236,   0.113,  -0.092,   0.377,   0.201
   76, 0_0_76 ,   0.124,   0.285,   0.340,   0.644,   0.182,  -0.125,   0.345,   0.242
   77, 0_0_77 ,   0.683,   0.070,   0.435,   0.354,   0.144,   0.039,   0.190,   0.488
