TABLE CalTimeCalib 123680
# corrections to  CalTimeCalib cid= XXX, to be subtracted 
# sipmid     dT      sigma      chi2
  759     -4.306    10.448     1.325
  760     -4.469     4.366     0.114
  761     -4.843     4.408     0.124
  762     -3.120     8.250     0.873
  763     -4.320     8.751     1.038
  764     -6.000    10.127     1.355
  765     -6.579     4.660     0.127
  766     -3.667    10.371     1.307
  767     -5.047     8.006     1.106
  768     -4.482    10.400     1.097
  769     -5.519     7.109     0.409
  770     -6.217     6.782     0.378
  771     -5.565     9.622     0.917
  772      0.000     0.000    -1.000
  773      0.000     0.000    -1.000
  774      0.000     0.000    -1.000
  775      0.000     0.000    -1.000
  776     -5.213    10.616     1.001
  777     -5.425    10.648     1.025
  778     -7.227     8.314     0.804
  779     -5.957    10.607     1.314
  780     -7.170     7.401     0.574
  781     -7.085     6.829     0.575
  782     -6.600     9.559     0.793
  783     -5.175    11.455     0.976
  784     -5.000    10.912     0.935
  785     -6.235     8.997     0.794
  786     -5.684    10.076     1.482
  787     -7.457     6.124     0.604
  788     -4.840    11.866     1.436
  789     -6.667    10.176     0.929
  790     -9.216     5.478     0.439
  791     -8.514     5.309     0.420
  792     -8.561     6.206     0.355
  793     -7.974     6.700     0.629
  794      0.000     0.000    -1.000
  795      0.000     0.000    -1.000
  796     -9.581    10.009     0.792
  797     -8.935     9.985     0.742
  798     -8.550     7.148     0.348
  799     -9.098     7.122     0.358
  800     -9.000     7.102     0.666
  801     -9.650     6.890     0.796
  802     -9.800     7.093     0.537
  803     -9.353     7.330     0.610
  804     -8.053     8.882     1.036
  805     -8.697     5.143     0.251
  806     -8.526     8.005     1.073
  807     -8.474     8.318     1.134
  808      0.000     0.000    -1.000
  809     -8.854     4.269     0.102
  810     -8.529     4.704     0.155
  811      0.000     0.000    -1.000
  812   -508.750     5.865     0.266
  813   -169.625     5.600     0.210
  814   -511.237    11.879     0.744
  815   -172.063    12.250     0.766
  816   -175.388     4.877     0.477
  817    154.677     4.849     0.475
  818   -179.831     6.429     1.129
  819    160.379     4.412     0.360
  820   -182.485     4.517     0.267
  821    159.316     3.130     0.115
  822    151.191     9.835     1.233
  823      0.000     0.000    -1.000
  824    151.327     5.818     0.691
  825      0.000     0.000    -1.000
  826      0.000     0.000    -1.000
  827      0.000     0.000    -1.000
  828    151.767     9.444     1.319
  829      0.000     0.000    -1.000
  830      6.957     5.571     0.534
  831      6.440     5.893     0.460
  832      6.091     5.991     0.405
  833      0.000     0.000    -1.000
  834      5.559     7.371     1.014
  835      6.391     9.195     1.480
  836      7.534    10.583     1.385
  837      5.294     6.896     0.343
  838      6.444     9.494     0.606
  839      5.215     8.420     1.121
  840      5.936     9.803     1.534
  841      4.864     5.901     0.347
  842      4.280     6.283     0.614
  843      4.111     5.946     0.450
  844      6.509     4.912     0.503
  845      5.873     4.984     0.521
  846      5.836     7.141     0.773
  847      6.719     8.853     1.268
  848      5.439     5.141     0.275
  849      5.500     5.563     0.320
  850      6.220     4.875     0.402
  851      5.375     4.314     0.160
  852      0.000     0.000    -1.000
  853      0.000     0.000    -1.000
  854      8.255    10.351     1.345
  855      7.105     8.558     1.019
  856      6.814     7.443     0.795
  857      6.381     5.228     0.255
  858      7.138     5.532     0.236
  859      0.000     0.000    -1.000
  860      0.000     0.000    -1.000
  861      0.000     0.000    -1.000
  862      0.000     0.000    -1.000
  863      0.000     0.000    -1.000
  864      5.611     5.181     0.405
  865      5.125     6.800     0.444
  866      7.286     8.876     0.973
  867      8.158     9.912     0.821
  868      5.333     5.538     0.376
  869      6.474     6.081     0.272
  870      0.000     0.000    -1.000
  871      7.650     6.022     0.406
  872      0.000     0.000    -1.000
  873      5.645     8.932     0.807
  874      0.000     0.000    -1.000
  875      5.769     7.544     0.294
  876      6.917     5.845     0.325
  877      7.500     5.144     0.278
  878      8.786    11.393     0.730
  879      9.429    11.294     0.686
  880      0.000     0.000    -1.000
  881      7.821     8.826     0.924
  882      0.000     0.000    -1.000
  883      8.787     8.812     1.029
  884      0.000     0.000    -1.000
  885      9.591     6.600     0.654
  886      7.683     8.652     0.790
