TABLE TrkAlignStraw
149, 00_1_53, -0.289000, 0.330000, -0.034000, 0.242000, -0.115000, 0.175000, 0.054000, -0.128000
150, 00_1_54, -0.082000, 0.267000, 0.069000, 0.087000, 0.105000, 0.170000, 0.222000, -0.144000
151, 00_1_55, -0.269000, 0.311000, -0.052000, 0.116000, -0.013000, 0.056000, 0.072000, -0.165000
152, 00_1_56, -0.286000, 0.318000, -0.041000, 0.105000, -0.096000, 0.270000, -0.056000, -0.080000
153, 00_1_57, -0.289000, 0.322000, -0.031000, -0.034000, -0.043000, 0.260000, 0.036000, -0.037000
154, 00_1_58, -0.251000, 0.274000, -0.026000, 0.007000, -0.013000, 0.245000, -0.076000, -0.151000
155, 00_1_59, -0.268000, 0.316000, -0.058000, 0.113000, -0.035000, 0.417000, 0.013000, -0.110000
156, 00_1_60, -0.078000, 0.328000, 0.091000, 0.085000, -0.110000, 0.290000, 0.155000, -0.128000
157, 00_1_61, -0.251000, 0.345000, -0.044000, 0.137000, -0.064000, 0.245000, 0.180000, -0.205000
158, 00_1_62, -0.250000, 0.251000, -0.013000, 0.066000, 0.082000, 0.304000, 0.359000, -0.134000
159, 00_1_63, -0.254000, 0.278000, -0.034000, 0.102000, -0.041000, 0.238000, 0.087000, -0.231000
160, 00_1_64, 0.005000, 0.368000, 0.111000, 0.139000, 0.008000, 0.209000, -0.019000, -0.085000
161, 00_1_65, -0.264000, 0.360000, -0.012000, 0.297000, 0.000000, 0.359000, 0.171000, -0.270000
162, 00_1_66, 0.029000, 0.248000, 0.114000, 0.134000, 0.054000, 0.275000, 0.169000, -0.127000
163, 00_1_67, -0.239000, 0.312000, -0.032000, 0.109000, -0.015000, 0.270000, 0.096000, -0.125000
164, 00_1_68, -0.244000, 0.353000, -0.009000, 0.059000, 0.113000, 0.244000, 0.005000, -0.033000
165, 00_1_69, -0.245000, 0.309000, -0.043000, 0.141000, 0.112000, 0.314000, 0.187000, -0.088000
166, 00_1_70, 0.046000, 0.368000, 0.142000, 0.151000, -0.006000, 0.168000, 0.234000, -0.022000
167, 00_1_71, -0.205000, 0.213000, -0.018000, 0.108000, 0.146000, 0.101000, 0.132000, -0.142000
168, 00_1_72, 0.103000, 0.346000, 0.135000, 0.185000, 0.286000, 0.377000, 0.052000, 0.016000
169, 00_1_73, -0.215000, 0.271000, -0.028000, 0.133000, 0.190000, 0.340000, 0.271000, 0.084000
170, 00_1_74, -0.218000, 0.322000, -0.016000, 0.190000, 0.106000, 0.446000, 0.063000, -0.006000
171, 00_1_75, -0.213000, 0.238000, -0.026000, 0.108000, -0.004000, 0.358000, 0.230000, 0.015000
172, 00_1_76, -0.199000, 0.319000, -0.029000, 0.184000, 0.150000, 0.282000, 0.080000, -0.088000
173, 00_1_77, -0.195000, 0.259000, -0.035000, 0.101000, 0.099000, 0.210000, 0.101000, -0.059000
174, 00_1_78, 0.127000, 0.275000, 0.122000, 0.252000, 0.205000, 0.222000, 0.231000, -0.027000
175, 00_1_79, -0.172000, 0.093000, -0.027000, 0.096000, -0.022000, 0.244000, 0.278000, -0.016000
176, 00_1_80, 0.065000, 0.276000, 0.143000, 0.168000, 0.082000, 0.237000, 0.219000, -0.064000
177, 00_1_81, -0.185000, 0.231000, -0.017000, 0.087000, -0.006000, 0.306000, -0.008000, -0.018000
178, 00_1_82, -0.188000, 0.310000, 0.010000, 0.140000, 0.080000, 0.233000, 0.155000, -0.111000
179, 00_1_83, -0.172000, 0.237000, 0.020000, 0.031000, -0.098000, 0.337000, 0.042000, -0.093000
180, 00_1_84, 0.032000, 0.256000, 0.152000, 0.193000, 0.010000, 0.300000, 0.110000, -0.097000
181, 00_1_85, -0.166000, 0.228000, -0.016000, 0.159000, -0.041000, 0.395000, 0.329000, -0.060000
182, 00_1_86, -0.150000, 0.288000, -0.012000, 0.159000, 0.094000, 0.294000, 0.302000, -0.092000
183, 00_1_87, -0.137000, 0.278000, -0.019000, 0.153000, 0.024000, 0.256000, -0.038000, 0.124000
184, 00_1_88, -0.156000, 0.257000, -0.003000, 0.122000, 0.202000, 0.329000, 0.067000, -0.000000
185, 00_1_89, -0.138000, 0.135000, -0.005000, 0.106000, -0.014000, 0.304000, 0.140000, -0.059000
186, 00_1_90, -0.144000, 0.297000, 0.006000, 0.170000, -0.018000, 0.306000, 0.197000, -0.086000
187, 00_1_91, -0.125000, 0.258000, -0.008000, 0.182000, -0.067000, 0.263000, 0.035000, 0.018000
188, 00_1_92, -0.121000, 0.196000, 0.038000, 0.128000, 0.072000, 0.238000, 0.264000, -0.003000
189, 00_1_93, -0.034000, 0.228000, 0.037000, 0.118000, 0.249000, 0.299000, 0.284000, 0.026000
190, 00_1_94, -0.019000, 0.196000, 0.415000, -0.036000, -0.017000, 0.269000, -0.005000, 0.102000
191, 00_1_95, -0.111000, 0.219000, 0.005000, 0.141000, -0.141000, 0.372000, -0.034000, 0.096000
192, 00_2_00, -0.281000, 0.182000, -0.230000, 0.293000, -0.347000, 0.062000, -0.288000, 0.103000
193, 00_2_01, -0.327000, 0.361000, -0.249000, 0.465000, -0.304000, -0.089000, -0.205000, 0.115000
194, 00_2_02, -0.325000, 0.189000, -0.215000, 0.348000, -0.360000, -0.015000, -0.318000, 0.113000
195, 00_2_03, -0.320000, 0.325000, -0.226000, 0.480000, -0.315000, -0.083000, -0.240000, 0.078000
