TABLE TrkAlignPanel 1-122273
  114,    19_0_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  115,    19_1_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  116,    19_2_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  117,    19_3_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  118,    19_4_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  119,    19_5_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  120,    20_0_0,  0.000000,  0.564333, -0.012103, -0.000466,  0.000366,  0.000032
  121,    20_1_0,  0.000000,  0.505601, -0.023318, -0.002202, -0.000909,  0.000099
  122,    20_2_0,  0.000000,  0.741102,  0.155499, -0.000033, -0.000827, -0.001107
  123,    20_3_0,  0.000000,  0.740533,  0.164854, -0.000787,  0.000743, -0.000606
  124,    20_4_0,  0.000000,  0.449258,  0.168768,  0.001943,  0.000286,  0.000640
  125,    20_5_0,  0.000000,  0.776167,  0.170630,  0.000083, -0.000144,  0.000076
  126,    21_0_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  127,    21_1_0,  0.000000,  0.458538,  0.046923,  0.001175,  0.000283, -0.000439
  128,    21_2_0,  0.000000,  0.347002,  0.011429, -0.000862,  0.000520, -0.000399
  129,    21_3_0,  0.000000,  0.311200, -0.092851,  0.000176, -0.000896, -0.000155
  130,    21_4_0,  0.000000,  0.301101,  0.063727, -0.000755, -0.000597,  0.000399
  131,    21_5_0,  0.000000,  0.685398,  0.121089, -0.000460,  0.000685,  0.000589
  132,    22_0_0,  0.000000,  0.385220,  0.175038, -0.001096,  0.000807, -0.000386
  133,    22_1_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  134,    22_2_0,  0.000000,  0.565400,  0.036654, -0.001324, -0.001120, -0.000049
  135,    22_3_0,  0.000000,  0.318935,  0.078122,  0.000216,  0.000338, -0.000391
  136,    22_4_0,  0.000000,  0.199099, -0.120861,  0.000774,  0.000167,  0.000222
  137,    22_5_0,  0.000000,  0.315514,  0.012700,  0.000923,  0.000295,  0.000173
  138,    23_0_0,  0.000000,  0.151693,  0.280637,  0.002254, -0.000363, -0.000038
  139,    23_1_0,  0.000000,  0.111633,  0.229370,  0.000774, -0.000158, -0.000071
  140,    23_2_0,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  141,    23_3_0,  0.000000,  0.289214,  0.013685, -0.000253, -0.000297,  0.000022
  142,    23_4_0,  0.000000,  0.115698,  0.080115, -0.000685,  0.000269, -0.000057
